Date,PM10,PM25,NO2
01-01-19,31.18,25.25,28.5
02-01-19,26.15,24,35.31
03-01-19,43.68,39.12,66.2
04-01-19,18.64,16.7,38.01
05-01-19,27.86,25.12,39.14
06-01-19,26.9,24.34,52.81
07-01-19,26.28,24.49,53.78
08-01-19,41.17,38.77,44.73
09-01-19,33.59,29.12,53.62
10-01-19,27.15,24.59,53.61
11-01-19,36.34,34.48,51.25
12-01-19,40.69,39.02,52.35
13-01-19,81.55,78.41,39.5
14-01-19,40.68,38.81,55.17
15-01-19,18.51,17.31,63.41
16-01-19,18.75,17.41,56.74
17-01-19,26.78,25.24,67.82
18-01-19,53.9,50.91,82.52
19-01-19,25.35,23.66,48.13
20-01-19,20.48,16.36,48.91
21-01-19,20.54,18.73,53.69
22-01-19,21.96,19.52,54.87
23-01-19,23.66,20.49,57.2
24-01-19,19.63,18.23,30.32
25-01-19,20.35,18.18,42.45
26-01-19,19.58,17.79,42.29
27-01-19,54.53,49.35,59.16
28-01-19,50.43,44.55,82.93
29-01-19,62.04,57.79,99.98
30-01-19,58.43,52.37,76.87
31-01-19,35.88,32.81,49.99
01-02-19,25.69,22.51,58.47
02-02-19,72.68,63.9,78.8
03-02-19,59.66,52.05,70.44
04-02-19,47.47,39.6,61.89
05-02-19,21.26,16.93,35.64
06-02-19,29.78,25.14,44.3
07-02-19,17.75,14.45,55.96
08-02-19,47.34,41.36,73
09-02-19,31.34,27.56,44.75
10-02-19,43.71,38.14,54.7
11-02-19,100.89,86.23,86.87
12-02-19,25.02,22.14,50.12
13-02-19,19.7,8.97,48.58
14-02-19,20.31,16.8,60.37
15-02-19,16.53,13.98,51.11
16-02-19,28.71,26.41,42.3
17-02-19,45.51,41.48,47.45
18-02-19,70.87,56.03,92.83
19-02-19,94.47,76.5,97.79
20-02-19,87.94,73.71,73.74
21-02-19,35.81,28.44,53.36
22-02-19,35.99,25.75,56.89
23-02-19,14.28,9.95,40.66
24-02-19,21.85,19.54,39.68
25-02-19,33.81,25.47,39.25
26-02-19,38.18,27.53,56.19
27-02-19,36.85,27.21,65.15
28-02-19,27.99,17.12,41.42
01-03-19,43.64,29.7,69.99
02-03-19,34.26,27.49,59.74
03-03-19,32.16,28.18,44.75
04-03-19,37.4,29.57,47.38
05-03-19,33.78,19.67,33.3
06-03-19,17.32,11.57,48.62
07-03-19,43.82,30.01,78.53
08-03-19,68.17,51.02,87.28
09-03-19,38.98,26.12,41.58
10-03-19,19.98,10.52,25.09
11-03-19,21.23,13.92,33.36
12-03-19,19.85,7.63,52.43
13-03-19,29.44,22.29,60.71
14-03-19,24.45,15.77,65.47
15-03-19,26.61,22.99,38.38
16-03-19,19.67,15.67,36.06
17-03-19,18.45,14.4,53.15
18-03-19,43.95,30.44,89.31
19-03-19,27.27,16.54,47.63
20-03-19,27.21,20.03,44.77
21-03-19,22.91,17.19,42.75
22-03-19,35.12,28.38,28.5
23-03-19,32.48,24.29,35.31
24-03-19,20.91,13.72,66.2
25-03-19,32.32,21.3,38.01
26-03-19,25.86,21.13,39.14
27-03-19,18.34,14.78,42.81
28-03-19,21.63,15.05,53.78
29-03-19,23.5,18.01,44.73
30-03-19,36.86,29.83,63.62
31-03-19,44.45,37.08,53.61
01-04-19,44.55,33.83,51.25
02-04-19,22.34,13.93,52.35
03-04-19,30.68,16.17,81.84
04-04-19,20.73,11.53,55.17
05-04-19,22.33,13.36,63.41
06-04-19,18.29,12.39,56.74
07-04-19,25,18.83,67.82
08-04-19,27.14,21.02,82.52
09-04-19,22.39,16.85,48.13
10-04-19,29.96,23.06,48.91
11-04-19,40.83,34.08,53.69
12-04-19,32.32,21.3,54.87
13-04-19,25.86,21.13,57.2
14-04-19,18.34,14.78,30.32
15-04-19,33.29,18.85,42.45
16-04-19,19.5,15.45,42.29
17-04-19,23.5,13.54,59.16
18-04-19,28.5,21.5,82.93
19-04-19,13.57,12.3,99.98
20-04-19,20.09,16.98,76.87
21-04-19,26.96,23.13,49.99
22-04-19,22.96,16.91,58.47
23-04-19,17.87,9.93,78.8
24-04-19,12.89,8.71,70.44
25-04-19,19.73,12.92,61.89
26-04-19,24.19,15.12,35.64
27-04-19,23.44,15.97,44.3
28-04-19,14.36,10.65,55.96
29-04-19,13.52,10.45,73
30-04-19,17.81,11.33,44.75
01-05-19,8.43,6.09,54.7
02-05-19,13.6,10.71,86.87
03-05-19,21.92,17.43,50.12
04-05-19,19.09,14.98,48.58
05-05-19,14.63,10.37,60.37
06-05-19,12.25,8.36,51.11
07-05-19,5.75,5.21,42.3
08-05-19,9.08,7.64,47.45
09-05-19,18.86,13.21,92.83
10-05-19,12,10.97,97.79
11-05-19,16.7,14.17,73.74
12-05-19,12.72,10.21,53.36
13-05-19,15.79,12.37,56.89
14-05-19,16.49,13.66,40.66
15-05-19,16.27,12.22,39.68
16-05-19,12.34,9.04,39.25
17-05-19,15.04,12.75,56.19
18-05-19,16.22,13.12,65.15
19-05-19,22.6,18.62,41.42
20-05-19,22.7,14.91,69.99
21-05-19,8.27,5.12,59.74
22-05-19,12.45,9.25,44.75
23-05-19,14.58,10.21,47.38
24-05-19,15.07,11.94,33.3
25-05-19,14.9,12.69,48.62
26-05-19,20.28,17.81,78.53
27-05-19,30.74,25.08,87.28
28-05-19,20.53,14.75,41.58
29-05-19,26.78,21.31,25.09
30-05-19,19.33,17.65,33.36
31-05-19,15.83,6.92,52.43
01-06-19,10.35,6.94,60.71
02-06-19,23.99,23.13,65.47
03-06-19,22.95,21.77,38.38
04-06-19,16.31,13.05,36.06
05-06-19,12.83,8.74,53.15
06-06-19,24.71,20.33,89.31
07-06-19,32.84,31.27,47.63
08-06-19,19.5,15.5,44.77
09-06-19,22.28,17.81,42.75
10-06-19,30.74,25.08,35.31
11-06-19,20.53,14.75,66.2
12-06-19,26.78,21.31,38.01
13-06-19,19.33,17.65,39.14
14-06-19,15.83,16.92,42.81
15-06-19,10.35,16.94,53.78
16-06-19,23.99,23.13,44.73
17-06-19,22.95,21.77,63.62
18-06-19,16.31,13.05,53.61
19-06-19,12.83,8.74,51.25
20-06-19,24.71,20.33,52.35
21-06-19,32.84,31.27,81.84
22-06-19,15.04,12.75,55.17
23-06-19,16.22,13.12,63.41
24-06-19,22.6,18.62,56.74
25-06-19,22.7,14.91,67.82
26-06-19,8.27,5.12,82.52
27-06-19,12.45,9.25,48.13
28-06-19,14.58,10.21,48.91
29-06-19,15.07,11.94,53.69
30-06-19,14.9,12.69,54.87
01-07-19,17.14,11.69,57.2
02-07-19,26.35,17.74,30.32
03-07-19,23.61,14.44,42.45
04-07-19,18.4,11.76,59.51
05-07-19,19.55,15.04,61.56
06-07-19,19.28,13.03,49.02
07-07-19,26.3,17.83,42.63
08-07-19,18.6,13.95,47.76
09-07-19,17.52,13.34,71.02
10-07-19,17.88,13.8,55
11-07-19,12.43,9.5,38.7
12-07-19,10.02,7.59,51.36
13-07-19,21.49,16.17,48.77
14-07-19,16.19,14.54,26.55
15-07-19,17.88,14.68,28.5
16-07-19,13.87,10.56,45.31
17-07-19,14.64,11.65,66.2
18-07-19,21.04,14.96,48.01
19-07-19,23.57,16.65,39.14
20-07-19,18.87,13.83,42.81
21-07-19,22.31,17.92,53.78
22-07-19,20.09,15.38,44.73
23-07-19,14.09,11.11,63.62
24-07-19,13.09,9.96,53.61
25-07-19,21.76,15.15,51.25
26-07-19,27.03,19.3,52.35
27-07-19,25.09,18.66,81.84
28-07-19,14.15,9.49,55.17
29-07-19,16.92,12.71,63.41
30-07-19,17.95,14.2,56.74
31-07-19,22.93,16.78,67.82
01-08-19,16.63,13,82.52
02-08-19,16.99,12.96,48.13
03-08-19,14.8,11.6,48.91
04-08-19,8.43,6.72,53.69
05-08-19,10.97,7.9,54.87
06-08-19,16.02,12.03,57.2
07-08-19,23.24,17.73,30.32
08-08-19,21.59,14.2,42.45
09-08-19,27.37,19.89,42.29
10-08-19,18.63,13.97,59.16
11-08-19,16.63,12.48,52.93
12-08-19,19.66,13.76,49.98
13-08-19,20.62,13.25,50.5
14-08-19,20.76,14.87,49.99
15-08-19,20.06,11.54,58.47
16-08-19,8.98,5.04,30.3
17-08-19,10.74,8.08,70.44
18-08-19,15.2,12.25,61.89
19-08-19,20.13,13.44,35.64
20-08-19,17.57,10.72,44.3
21-08-19,23.25,14.7,55.96
22-08-19,23.26,14.2,53
23-08-19,21.39,14.05,44.75
24-08-19,17.86,10.81,54.7
25-08-19,24.54,15.03,56.87
26-08-19,21.06,11.97,50.12
27-08-19,23.17,13.27,48.58
28-08-19,26.93,14.47,60.37
29-08-19,26,13.43,51.11
30-08-19,27.29,14.63,42.3
31-08-19,22.6,10.96,47.45
01-09-19,22.88,12.9,52.83
02-09-19,22.75,12.07,47.79
03-09-19,23.71,13.47,63.74
04-09-19,21.4,10.7,53.36
05-09-19,12.9,9.04,56.89
06-09-19,18.41,12.73,40.66
07-09-19,21.56,14.15,39.68
08-09-19,21.52,13.63,39.25
09-09-19,18.35,9.9,56.19
10-09-19,17.52,8.61,65.15
11-09-19,22.22,10.36,41.42
12-09-19,22.96,10.47,69.99
13-09-19,25.49,13.28,59.74
14-09-19,24.69,13.62,44.75
15-09-19,16.76,9.49,47.38
16-09-19,26.45,15.73,33.3
17-09-19,30.56,20.77,48.62
18-09-19,21.3,10.9,78.53
19-09-19,20.39,9.49,45.5
20-09-19,11.07,4.92,41.58
21-09-19,14.67,9.67,25.09
22-09-19,29.42,22.84,43.36
23-09-19,44.22,32.27,52.43
24-09-19,25.91,19.34,60.71
25-09-19,11.97,7.89,65.47
26-09-19,16.01,11.88,38.38
27-09-19,15.46,12.38,36.06
28-09-19,27.74,19.89,53.15
29-09-19,26.39,20.61,89.31
30-09-19,23.67,16.83,47.63
01-10-19,25.09,17.48,44.77
02-10-19,25.02,17.02,42.75
03-10-19,27.72,19.82,41.76
04-10-19,8.31,6.45,33.81
05-10-19,16.95,5.46,33.64
06-10-19,13.84,11.53,40.77
07-10-19,9.94,7.21,46.2
08-10-19,15.67,11.78,40.5
09-10-19,25.6,20.66,45.5
10-10-19,32.15,26.07,63.85
11-10-19,15.78,11.09,49.53
12-10-19,23.09,17.13,57.61
13-10-19,35.7,28.91,44.5
14-10-19,39.37,29.03,49.5
15-10-19,26.27,19.96,58.06
16-10-19,18.09,13.3,56.64
17-10-19,33.18,25,67.95
18-10-19,36.22,27.15,45.5
19-10-19,41.15,33.11,39.5
20-10-19,33.18,28.25,57.73
21-10-19,40.19,30.88,64.59
22-10-19,28.29,22.45,49.42
23-10-19,39.79,29.08,71.22
24-10-19,18.15,13.53,47.11
25-10-19,24.67,18.44,52.17
26-10-19,27.69,21.03,54.26
27-10-19,35.8,29.27,59.03
28-10-19,57.75,47.13,45.5
29-10-19,27.87,21.28,39.74
30-10-19,21.92,18.49,35.29
31-10-19,28.66,28.33,48.22
01-11-19,33.87,30.9,63.02
02-11-19,43.3,40.8,57.62
03-11-19,59.71,55.68,59.88
04-11-19,51.75,46.53,49.98
05-11-19,53.95,48.92,52.68
06-11-19,26.27,19.96,59.47
07-11-19,18.09,13.3,55.68
08-11-19,33.18,25,53.16
09-11-19,36.22,27.15,56.2
10-11-19,41.15,33.11,47.67
11-11-19,33.18,28.25,40.32
12-11-19,40.19,30.88,51.62
13-11-19,20.66,14.33,42.13
14-11-19,21.07,15.88,38
15-11-19,16.63,13.07,38.86
16-11-19,11.02,8.43,34.87
17-11-19,12.08,8.62,33.66
18-11-19,17.05,13.03,43.24
19-11-19,18.74,14.09,46.91
20-11-19,18.06,12.7,38.62
21-11-19,14.96,9.95,31.46
22-11-19,19.17,6.26,29.95
23-11-19,18.13,7,31.05
24-11-19,9.44,8.44,32.62
25-11-19,19.62,7.66,43.9
26-11-19,18.08,6.96,37.44
27-11-19,10.83,9.37,42.88
28-11-19,22.7,19.65,39.54
29-11-19,16.28,14.04,36.07
30-11-19,10.65,9.61,41.39
01-12-19,10.48,8.94,42.93
02-12-19,21.03,18.06,54.6
03-12-19,18.47,15.92,47.44
04-12-19,20.8,16.76,59.09
05-12-19,20.84,17.55,45.83
06-12-19,23.56,15.81,37.64
07-12-19,28.12,15.27,35.74
08-12-19,44.48,39.77,51.37
09-12-19,34.9,27.06,57.24
10-12-19,42.19,37.37,55.53
11-12-19,18.07,15.18,39.23
12-12-19,19.97,12.48,44.3
13-12-19,17.31,13.27,34.44
14-12-19,13.5,11.35,37.31
15-12-19,22.42,10.31,44.15
16-12-19,16.5,19.5,56.03
17-12-19,21.5,13.5,51.95
18-12-19,32.77,29.31,41.37
19-12-19,40.35,35.28,71.87
20-12-19,18.19,16.28,47.39
21-12-19,42.11,37.59,54.38
22-12-19,40.58,37.06,51.03
23-12-19,32.6,25.5,35.65
24-12-19,24.46,23.92,35.26
25-12-19,18.47,35.28,29.39
26-12-19,20.8,16.28,39.76
27-12-19,20.84,37.59,42.19
28-12-19,19.56,27.06,42.05
29-12-19,18.12,25.5,27.68
30-12-19,44.48,12.65,32.73
31-12-19,34.9,14.54,23.85
01-01-20,28.33,27.07,32.48
02-01-20,22.77,21.64,35.83
03-01-20,26.73,25.38,40.06
04-01-20,48.35,45.85,55.98
05-01-20,36.47,35.04,44.22
06-01-20,8.88,8.01,44.7
07-01-20,21.71,20.11,51.4
08-01-20,39.56,37.63,55.21
09-01-20,28.37,26.42,43.17
10-01-20,32.12,30.14,44.33
11-01-20,58.47,56.07,61.11
12-01-20,37.99,36.93,47.52
13-01-20,23.15,22.35,42.17
14-01-20,40.54,37.18,61.11
15-01-20,26.29,24.6,56.98
16-01-20,11.09,11.48,47.98
17-01-20,7.85,8.75,43.6
18-01-20,11.28,12.03,47.11
19-01-20,13.29,14.5,38.03
20-01-20,17.99,18.99,42.33
21-01-20,23.94,25.4,45.71
22-01-20,21.49,22.68,34.4
23-01-20,16.26,17.61,54.73
24-01-20,27.42,29.02,39.49
25-01-20,45.58,49.64,59.74
26-01-20,61.16,64.24,84
27-01-20,39.1,45.01,64.25
28-01-20,23.07,15.59,37.86
29-01-20,16.95,15.95,44.2
30-01-20,25.09,16.84,55.33
31-01-20,23.88,15.35,37.48
01-02-20,34.22,25.32,41.57
02-02-20,19.42,13.31,22.96
03-02-20,16.67,7.81,27.35
04-02-20,26.35,15.65,45.36
05-02-20,10.83,6.94,35.81
06-02-20,15.89,13.61,51.99
07-02-20,20.71,17.12,52.38
08-02-20,14.43,11.62,34.01
09-02-20,29.44,26.39,45.61
10-02-20,40.8,36.28,74.85
11-02-20,18.27,15.87,32.67
12-02-20,9.08,5.82,26.89
13-02-20,17.69,10.22,36.67
14-02-20,58.62,37.15,63.95
15-02-20,45.66,34.77,51.34
16-02-20,31.58,24.59,33.3
17-02-20,53.55,34.25,49.08
18-02-20,73.54,52.63,68.14
19-02-20,31.21,21.4,55.18
20-02-20,20.61,17.15,52.16
21-02-20,32.44,26.78,37.37
22-02-20,25.45,20.09,38.35
23-02-20,23,19.39,23.92
24-02-20,20.33,10.99,34.99
25-02-20,50,27.87,53.72
26-02-20,63.21,40.28,64.35
27-02-20,23.38,12.25,30.75
28-02-20,18.77,13.96,31.83
29-02-20,22.37,19.4,30.56
01-03-20,43.97,35.09,52.94
02-03-20,126.36,96.52,64.74
03-03-20,60.26,32.81,56.9
04-03-20,44.55,17.08,48.45
05-03-20,18.05,13.88,22.79
06-03-20,33.9,23.35,38.49
07-03-20,47.55,36.4,55.19
08-03-20,25.13,19.04,45.15
09-03-20,22.21,17.94,33.41
10-03-20,25.14,17.42,24.39
11-03-20,18.89,14.69,20.95
12-03-20,28.63,16.54,41.95
13-03-20,29.17,18.91,41.99
14-03-20,23.75,7.93,25.51
15-03-20,26.32,6.91,21.1
16-03-20,20.44,14.53,33.8
17-03-20,24.62,14.44,34.31
18-03-20,42.7,29.51,49.56
19-03-20,51.12,37.63,54.08
20-03-20,56.73,39.03,68.31
21-03-20,58.97,44.67,37.05
22-03-20,17.89,8.49,15.49
23-03-20,12.13,9.94,18.8
24-03-20,133.5,12.1,20.86
25-03-20,32.03,12.07,17.97
26-03-20,184.62,27.4,17.15
27-03-20,146.47,23.76,20.31
28-03-20,68.51,18.48,28.36
29-03-20,57.34,21.97,20.44
30-03-20,45.45,25.15,30.69
31-03-20,54.8,8.9,19.98
01-04-20,16.28,9.17,24.58
02-04-20,17.31,9.5,29.19
03-04-20,27.05,17.49,28.31
04-04-20,45.28,30.97,36.22
05-04-20,41.24,16.98,13.67
06-04-20,36.25,17.52,22.69
07-04-20,28.91,16.19,29.02
08-04-20,34.57,24.62,40.41
09-04-20,38.65,22.87,34.6
10-04-20,47.64,25.51,28.77
11-04-20,30.93,11.62,25.55
12-04-20,35.06,21.19,23.21
13-04-20,32.08,15.89,27.26
14-04-20,42.07,21.23,19.15
15-04-20,6.29,4.65,18.43
16-04-20,15.77,10.37,17.82
17-04-20,18.8,13.19,25.09
18-04-20,28.86,19.88,37.75
19-04-20,24.01,15.51,15.12
20-04-20,15.19,9.14,14.23
21-04-20,13.54,8.48,22.84
22-04-20,18.57,12.64,31.1
23-04-20,17.78,11.28,38.14
24-04-20,18.7,11.54,19.5
25-04-20,21.27,12.17,12.11
26-04-20,14.99,8.96,14.08
27-04-20,17.45,9.22,33.9
28-04-20,22.75,12.33,34.22
29-04-20,22.37,11.59,23.81
30-04-20,15.09,7.98,27.21
01-05-20,15.85,11.91,26.96
02-05-20,10.52,7.38,15.06
03-05-20,11.83,8.57,20.04
04-05-20,4.8,3.45,26.95
05-05-20,11.36,7.93,23.03
06-05-20,8.42,5.89,26.78
07-05-20,10.87,6.69,28.53
08-05-20,16.12,10.1,35.4
09-05-20,20.63,13.88,26.51
10-05-20,21.37,15.09,33.84
11-05-20,25.64,14.11,39.23
12-05-20,25.1,9.93,19.83
13-05-20,15.29,5.25,44.1
14-05-20,22.07,8.56,29.67
15-05-20,22.46,9.24,48.76
16-05-20,26.88,11.77,31.88
17-05-20,22.97,11.38,25.25
18-05-20,20.35,10.79,52.42
19-05-20,30.55,18.12,58.86
20-05-20,29.29,17.25,50.5
21-05-20,9.14,5.71,46.05
22-05-20,9.01,5.68,35.52
23-05-20,11.24,7.73,28.45
24-05-20,15.05,10.96,23
25-05-20,8.28,5.65,34.28
26-05-20,11.53,7.61,46.19
27-05-20,9.47,6.16,54.17
28-05-20,8.93,5.37,43.15
29-05-20,10.06,6.62,42.68
30-05-20,10.05,6.25,27.36
31-05-20,11.53,7.13,14.6
01-06-20,10.18,6.72,24.27
02-06-20,8.33,5.8,50.41
03-06-20,11.03,7.14,23.79
04-06-20,14.73,9.16,22.93
05-06-20,23.86,12.71,30.41
06-06-20,24.19,14.73,46.55
07-06-20,16.7,10.48,37.97
08-06-20,20.58,13.79,32.91
09-06-20,28.97,19.7,42.85
10-06-20,23.63,15.78,28.04
11-06-20,17.94,12.21,22.27
12-06-20,20.21,15.42,18.81
13-06-20,19.24,14.02,23.68
14-06-20,25.17,20.78,24.67
15-06-20,25.83,22.61,36.79
16-06-20,18.36,12.82,44.64
17-06-20,15.69,13.31,41.27
18-06-20,27.96,24.14,24.08
19-06-20,20.65,16.71,27.56
20-06-20,13.94,9.72,24.8
21-06-20,13.36,10.76,20.74
22-06-20,14.52,10.14,28.86
23-06-20,17.24,13.47,47.64
24-06-20,21.48,17.11,35.74
25-06-20,21.33,14.67,56.51
26-06-20,22.36,15.31,56.01
27-06-20,23.21,13.15,40.7
28-06-20,29.58,19.11,25.96
29-06-20,32.28,26.41,46.91
30-06-20,41.11,32.69,27.98
01-07-20,23.85,16.61,52.19
02-07-20,35.94,25.52,60.44
03-07-20,26.14,16.67,55.38
04-07-20,40.43,33.56,38.6
05-07-20,25.68,23.86,30.17
06-07-20,26.57,22.75,53.92
07-07-20,30.61,26.3,35.7
08-07-20,15.77,15.31,25.27
09-07-20,12.72,6.27,49.85
10-07-20,16.81,8.06,63.58
11-07-20,16.9,7.22,46.89
12-07-20,18.73,11.85,32.71
13-07-20,7.46,4.83,33.45
14-07-20,15.09,9.22,53.11
15-07-20,17.53,9.55,55.71
16-07-20,22.29,13.48,41.57
17-07-20,16,9.46,59.73
18-07-20,19.56,9.73,40.71
19-07-20,16.35,11.26,30.72
20-07-20,13.62,10.63,28
21-07-20,15.47,10.87,50.43
22-07-20,16.5,11.12,57.19
23-07-20,15.91,8.49,52.95
24-07-20,23.04,12.42,40.11
25-07-20,18.75,8.97,39.31
26-07-20,19.38,12.67,31.3
27-07-20,23.67,17.72,23.94
28-07-20,20.16,14.53,41.27
29-07-20,21.02,13.43,69.42
30-07-20,25.89,17.4,70.7
31-07-20,23.52,15.41,52.04
01-08-20,18.67,12.61,31.1
02-08-20,15.18,9.25,32.38
03-08-20,18.78,8.52,61.03
04-08-20,16.44,9.08,60.33
05-08-20,19.44,9.91,60.18
06-08-20,26.14,9.96,54.77
07-08-20,22,10.96,57.05
08-08-20,27.4,14.42,39.64
09-08-20,15.89,9.36,32.78
10-08-20,17.43,11.9,56.68
11-08-20,18.14,12.74,61.36
12-08-20,15.78,9.74,56.38
13-08-20,20.63,12.65,61.1
14-08-20,26.58,18.22,64.15
15-08-20,16.37,10.84,37.18
16-08-20,13.9,9.46,30.04
17-08-20,19.78,10.54,57.28
18-08-20,23.14,15.1,62.19
19-08-20,17.38,11.1,34.93
20-08-20,12.54,10.15,38.3
21-08-20,17.75,12.19,45.7
22-08-20,26.13,19.7,38.69
23-08-20,25.81,17.78,38.41
24-08-20,24.13,14,58.94
25-08-20,19.53,8.91,44.18
26-08-20,16.16,9.76,37.23
27-08-20,19.58,11.53,26.29
28-08-20,24.15,14.32,69.02
